facility_id,facility_name,primary_sector,state,year,emissions,predicted,error_pct
1000001,PSE Ferndale Generating Station,Power Plants,WA,2021,637259.64,790082.9359987399,23.981323530663246
1000001,PSE Ferndale Generating Station,Power Plants,WA,2022,464785.558,996983.646983824,114.50400724022151
1000001,PSE Ferndale Generating Station,Power Plants,WA,2023,715257.16,1258065.890382363,75.89001001854535
1000002,Ardagh Glass Inc. (Dunkirk),Minerals,IN,2021,116830.596,117339.1514565869,0.43529304308855454
1000002,Ardagh Glass Inc. (Dunkirk),Minerals,IN,2022,115616.9,118104.24221092513,2.1513655970062686
1000002,Ardagh Glass Inc. (Dunkirk),Minerals,IN,2023,116955.04,118874.32161444915,1.6410422453356024
1000003,Ardagh Glass Inc. (Henderson),Minerals,NC,2021,79993.496,81580.40064917147,1.9837920937615592
1000003,Ardagh Glass Inc. (Henderson),Minerals,NC,2022,79156.516,81984.41977027635,3.5725470412016938
1000003,Ardagh Glass Inc. (Henderson),Minerals,NC,2023,77625.44,82390.4397573851,6.138451205410365
1000005,Ardagh Glass Inc. (Madera),Minerals,CA,2021,78060.732,82917.08905990416,6.221254830026646
1000005,Ardagh Glass Inc. (Madera),Minerals,CA,2022,76626.784,83430.77256755269,8.879386831049427
1000005,Ardagh Glass Inc. (Madera),Minerals,CA,2023,71574.356,83947.63841974619,17.287312259919165
1000010,SANTA ROSA CENTRAL LANDFILL,Waste,FL,2021,163446.75,131783.43205930723,19.37225300637227
1000010,SANTA ROSA CENTRAL LANDFILL,Waste,FL,2022,187485,135500.63350046508,27.727213643510108
1000010,SANTA ROSA CENTRAL LANDFILL,Waste,FL,2023,196274.75,139322.6856526589,29.016500771159357
1000015,"TYSON FARMS, INC.",Other,NC,2021,25340.802,25835.857173973287,1.9535892114751825
1000015,"TYSON FARMS, INC.",Other,NC,2022,25758.502,25682.390936102478,0.29547938733984763
1000015,"TYSON FARMS, INC.",Other,NC,2023,21782.966,25529.836295087403,17.200918805489586
1000016,TYSON FARMS INCORPORATED HARMONY,Other,NC,2021,38150.856,33870.47530342314,11.219619021331685
1000016,TYSON FARMS INCORPORATED HARMONY,Other,NC,2022,40951.896,33337.14434959235,18.594381198876967
1000016,TYSON FARMS INCORPORATED HARMONY,Other,NC,2023,40292.548,32812.21132651883,18.565062386923685
1000017,BASF CORPORATION,Chemicals,MO,2021,139758.324,134388.52882772833,3.8422006064351977
1000017,BASF CORPORATION,Chemicals,MO,2022,121093.444,132580.81264039702,9.486367107039271
1000017,BASF CORPORATION,Chemicals,MO,2023,128734.616,130797.41279793889,1.6023637324858238
1000019,WESTERN SUGAR COMPANY,Minerals,NE,2021,261832.562,248222.05181388187,5.198173245586671
1000019,WESTERN SUGAR COMPANY,Minerals,NE,2022,249979.072,249626.3770968429,0.14108977216984725
1000019,WESTERN SUGAR COMPANY,Minerals,NE,2023,168917.572,251038.64740115142,48.616064290310455
1000020,Ardagh Glass Inc. (Port Allegany),Minerals,PA,2021,65442.164,64102.40127970131,2.0472469710792023
1000020,Ardagh Glass Inc. (Port Allegany),Minerals,PA,2022,62665.624,64568.71211783666,3.0368932699635356
1000020,Ardagh Glass Inc. (Port Allegany),Minerals,PA,2023,61642.128,65038.41511903354,5.509685063165799
1000021,Ardagh Glass Inc. (Ruston),Minerals,LA,2021,42822.336,55137.53260123706,28.758815495812872
1000021,Ardagh Glass Inc. (Ruston),Minerals,LA,2022,44137.832,51473.007613053116,16.618794536743703
1000021,Ardagh Glass Inc. (Ruston),Minerals,LA,2023,22864.888,48052.03257633586,110.15643101482004
1000022,ISP TECHNOLOGIES TEXAS CITY PLANT,Chemicals,TX,2021,35750.516,36984.84354732128,3.45261463448885
1000022,ISP TECHNOLOGIES TEXAS CITY PLANT,Chemicals,TX,2022,37575.06,37750.968895324746,0.46815333182368385
1000022,ISP TECHNOLOGIES TEXAS CITY PLANT,Chemicals,TX,2023,35437.916,38532.96420498176,8.73371957025285
1000023,Ardagh Glass Inc. (Sapulpa),Minerals,OK,2021,96370.436,116249.15153894185,20.62740023189461
1000023,Ardagh Glass Inc. (Sapulpa),Minerals,OK,2022,102677.636,117529.31622630956,14.464376864217598
1000023,Ardagh Glass Inc. (Sapulpa),Minerals,OK,2023,97579.996,118823.57840690743,21.770427626280522
1000024,Ardagh Glass Inc. (Seattle),Minerals,WA,2021,57880.736,65960.85482198885,13.959944845879033
1000024,Ardagh Glass Inc. (Seattle),Minerals,WA,2022,54049.144,64552.747553514644,19.43343182921573
1000024,Ardagh Glass Inc. (Seattle),Minerals,WA,2023,44364.372,63174.700024030804,42.399626493148155
1000025,PLACID REFINING CO LLC - PORT ALLEN REFINERY,Petroleum Product Suppliers,LA,2021,632244.376,611327.111648159,3.3084144590067597
1000025,PLACID REFINING CO LLC - PORT ALLEN REFINERY,Petroleum Product Suppliers,LA,2022,583803.792,616595.7111351552,5.6169417849816154
1000025,PLACID REFINING CO LLC - PORT ALLEN REFINERY,Petroleum Product Suppliers,LA,2023,655592.234,621909.7169848426,5.137723613601789
1000026,Ardagh Glass Inc. (Wilson),Minerals,NC,2021,92756.316,79183.04823691228,14.63325447626416
1000026,Ardagh Glass Inc. (Wilson),Minerals,NC,2022,89289.616,77899.44556615512,12.756433439970083
1000026,Ardagh Glass Inc. (Wilson),Minerals,NC,2023,44661.488,76636.65083160505,71.5944861299853
1000027,The Children\s Hospital of Philadelphia,Other,PA,2021,18036.384,33764.6237722956,87.20284383108944
1000027,The Children\s Hospital of Philadelphia,Other,PA,2022,26966.296,34797.625249632314,29.041175138151402
1000027,The Children\s Hospital of Philadelphia,Other,PA,2023,23736.214,35862.23057540455,51.0865657657306
1000028,Ardagh Glass Inc. (Pevely),Minerals,MO,2021,82394.996,80062.01969282291,2.831453875156553
1000028,Ardagh Glass Inc. (Pevely),Minerals,MO,2022,78245.656,79951.36351927492,2.1799389339580943
1000028,Ardagh Glass Inc. (Pevely),Minerals,MO,2023,77742.556,79840.86028701937,2.699042062650185
1000029,NUCOR STEEL SEATTLE INC,Metals,WA,2021,97512.08,141162.12836597243,44.763734263459895
1000029,NUCOR STEEL SEATTLE INC,Metals,WA,2022,84680.192,142221.91104577176,67.95180512317658
1000029,NUCOR STEEL SEATTLE INC,Metals,WA,2023,82395.852,143289.65010410832,73.90396072863999
1000030,US MAGNESIUM LLC,Metals,UT,2021,293584.576,312240.2127653052,6.354433539895905
1000030,US MAGNESIUM LLC,Metals,UT,2022,146582.864,284460.5212272813,94.06123844549886
1000030,US MAGNESIUM LLC,Metals,UT,2023,13187.234,259152.36035826776,1865.1760206747508
1000031,Northwest Regional Landfill,Waste,AZ,2021,104353.876,115920.17822406616,11.083730348517339
1000031,Northwest Regional Landfill,Waste,AZ,2022,95653.684,124703.96677313636,30.370270708168825
1000031,Northwest Regional Landfill,Waste,AZ,2023,95960.134,134153.34212906662,39.8011200453999
1000032,KRATON Corporation,Other,OH,2021,209305.566,191138.0775051893,8.679887898829541
1000032,KRATON Corporation,Other,OH,2022,208474.52,182980.26862387874,12.228953147905676
1000032,KRATON Corporation,Other,OH,2023,209507.268,175170.63655073024,16.389231637190633
1000034,ADM SOYBEAN PROCESSING - DES MOINES,Other,IA,2021,147313.24,151320.63355167006,2.720321372111613
1000034,ADM SOYBEAN PROCESSING - DES MOINES,Other,IA,2022,151811.58,152402.90589445882,0.3895130361325735
1000034,ADM SOYBEAN PROCESSING - DES MOINES,Other,IA,2023,108458.352,153492.9188433798,41.52245171803809
1000035,THE ANDERSONS MARATHON HOLDINGS LLC,Other,OH,2021,183836.608,173930.59607196704,5.388487111355409
1000035,THE ANDERSONS MARATHON HOLDINGS LLC,Other,OH,2022,192484.976,173197.66201802102,10.020165928160015
1000035,THE ANDERSONS MARATHON HOLDINGS LLC,Other,OH,2023,197846.056,172467.81650823893,12.827265806987368
1000036,UNIVERSITY OF CINCINNATI,Other,OH,2021,169645.048,142990.68782366463,15.711840982434913
1000036,UNIVERSITY OF CINCINNATI,Other,OH,2022,158588.22,143067.6987204111,9.786679792224728
1000036,UNIVERSITY OF CINCINNATI,Other,OH,2023,172057.794,143144.75109313277,16.80426223927248
1000037,TYSON FRESH MEATS INC,Other,IL,2021,37294.388,39574.78892737931,6.1145953846442325
1000037,TYSON FRESH MEATS INC,Other,IL,2022,37060.018,40509.77722473315,9.308574066891053
1000037,TYSON FRESH MEATS INC,Other,IL,2023,34753.392,41466.855421739776,19.3174335953733
1000038,TYSON FRESH MEATS,Other,WA,2021,104440.318,132687.1680056914,27.045924932640865
1000038,TYSON FRESH MEATS,Other,WA,2022,94596.042,144098.80582862246,52.33069247085671
1000038,TYSON FRESH MEATS,Other,WA,2023,100445.238,156491.89106473612,55.79821819401346
1000039,GE's Grid Solutions,Import and Export of Equipment Containing Fluorintaed GHGs,PA,2021,28632.47694,18177.888801109166,36.51304132995081
1000039,GE's Grid Solutions,Import and Export of Equipment Containing Fluorintaed GHGs,PA,2022,29677.74829,18429.51600767386,37.901232170353914
1000039,GE's Grid Solutions,Import and Export of Equipment Containing Fluorintaed GHGs,PA,2023,1485.8928,18684.62636081168,1157.4679923620113
