facility_id,facility_name,primary_sector,emissions_2023,label
1007227,James H Miller Jr,Power Plants,16558380.818,James H Miller Jr [1007227] -- Power Plants
1000192,Labadie,Power Plants,15388715.198,Labadie [1000192] -- Power Plants
1001194,Gen J M Gavin,Power Plants,13451174.216,Gen J M Gavin [1001194] -- Power Plants
1007504,Martin Lake,Power Plants,12787948.834,Martin Lake [1007504] -- Power Plants
1007505,Oak Grove,Power Plants,12278593.594,Oak Grove [1007505] -- Power Plants
1007793,Harrison Power Station,Power Plants,11179958.466,Harrison Power Station [1007793] -- Power Plants
1001020,Colstrip,Power Plants,10967111.138,Colstrip [1001020] -- Power Plants
1001505,Bowen,Power Plants,10223192.838,Bowen [1001505] -- Power Plants
1006868,W A Parish,Power Plants,10110960.572,W A Parish [1006868] -- Power Plants
1006512,Ghent,Power Plants,9677872.494,Ghent [1006512] -- Power Plants
1002301,"CF INDUSTRIES NITROGEN, LLC - DONALDSONVILLE NITROGEN COMPLEX",Chemicals,9475265.746,"CF INDUSTRIES NITROGEN, LLC - DONALDSONVILLE NITROGEN COMPLEX [1002301] -- Chemicals"
1007639,Cumberland,Power Plants,9455486.083,Cumberland [1007639] -- Power Plants
1000839,Cardinal,Power Plants,9267970.754,Cardinal [1000839] -- Power Plants
1001487,Crystal River Power Plant,Power Plants,8392686.334,Crystal River Power Plant [1001487] -- Power Plants
1007429,Coal Creek,Power Plants,7716347.05,Coal Creek [1007429] -- Power Plants
1003962,Cleveland-Cliffs Burns Harbor LLC,Metals,7644163.344,Cleveland-Cliffs Burns Harbor LLC [1003962] -- Metals
1006510,Mill Creek,Power Plants,7214107.236,Mill Creek [1006510] -- Power Plants
1006589,Gerald Gentleman Station,Power Plants,7190319.97,Gerald Gentleman Station [1006589] -- Power Plants
1007171,West County Energy Center,Power Plants,7147923.976,West County Energy Center [1007171] -- Power Plants
1001196,Springerville Generating Station,Power Plants,7022189.542,Springerville Generating Station [1001196] -- Power Plants
1006542,Trimble County,Power Plants,6994442.332,Trimble County [1006542] -- Power Plants
1001462,Comanche (470),Power Plants,6991405.874,Comanche (470) [1001462] -- Power Plants
1000670,J H Campbell,Power Plants,6673593.492,J H Campbell [1000670] -- Power Plants
1005585,Galveston Bay Refinery,Other,6633324.474,Galveston Bay Refinery [1005585] -- Other
1005713,Limestone,Power Plants,6616810.576,Limestone [1005713] -- Power Plants
1006627,Los Angeles Refinery (LAR),Chemicals,6118906.276,Los Angeles Refinery (LAR) [1006627] -- Chemicals
1000581,Jeffrey Energy Center,Power Plants,6117108.56,Jeffrey Energy Center [1000581] -- Power Plants
