year,primary_sector,p50
2024,Other,60153530.93060031
2024,Chemicals,160049188.0292759
2024,Import and Export of Equipment Containing Fluorintaed GHGs,69540.78435494051
2024,Industrial Gas Suppliers,8496.257536399178
2024,Injection of CO2,4203166.406365648
2024,Metals,39530266.76055316
2024,Minerals,59589882.626933284
2024,Natural Gas and Natural Gas Liquids Suppliers,3004682.8875901354
2024,Petroleum and Natural Gas Systems,29177829.96054549
2024,Petroleum Product Suppliers,38869619.73537006
2024,Power Plants,585791658.5061265
2024,Pulp and Paper,14865334.017315047
2024,Refineries,1046318.372029004
2024,Waste,33113788.798994586
2025,Other,60325806.876907066
2025,Chemicals,161295979.64719075
2025,Import and Export of Equipment Containing Fluorintaed GHGs,70087.03410816359
2025,Industrial Gas Suppliers,8007.820968425862
2025,Injection of CO2,4133281.7076065256
2025,Metals,39138197.75816491
2025,Minerals,60216865.830039375
2025,Natural Gas and Natural Gas Liquids Suppliers,2962175.1919503687
2025,Petroleum and Natural Gas Systems,29443458.47462867
2025,Petroleum Product Suppliers,38651278.319097646
2025,Power Plants,583147383.5063528
2025,Pulp and Paper,14804791.96501958
2025,Refineries,1050202.5334113706
2025,Waste,33545895.845736235
2026,Other,60530285.53608801
2026,Chemicals,162621342.98108023
2026,Import and Export of Equipment Containing Fluorintaed GHGs,70657.98057715005
2026,Industrial Gas Suppliers,7547.463855425677
2026,Injection of CO2,4064613.501386015
2026,Metals,38760864.30086547
2026,Minerals,60882058.43847025
2026,Natural Gas and Natural Gas Liquids Suppliers,2922509.3157192306
2026,Petroleum and Natural Gas Systems,29759431.785176624
2026,Petroleum Product Suppliers,38437593.02553861
2026,Power Plants,581219793.8269465
2026,Pulp and Paper,14755649.164387574
2026,Refineries,1054110.0920547843
2026,Waste,34047177.65555512
2027,Other,60767480.388721675
2027,Chemicals,164029042.08239892
2027,Import and Export of Equipment Containing Fluorintaed GHGs,71253.9941827807
2027,Industrial Gas Suppliers,7113.571953414296
2027,Injection of CO2,3997139.1508295364
2027,Metals,38398126.85355705
2027,Minerals,61587102.6903942
2027,Natural Gas and Natural Gas Liquids Suppliers,2885497.7284253687
2027,Petroleum and Natural Gas Systems,30129239.80706528
2027,Petroleum Product Suppliers,38228360.53584206
2027,Power Plants,580040445.6495527
2027,Pulp and Paper,14717412.443904467
2027,Refineries,1058041.2034698233
2027,Waste,34621799.49331629
2028,Other,61038016.07545597
2028,Chemicals,165523153.1898626
2028,Import and Export of Equipment Containing Fluorintaed GHGs,71875.45564207443
2028,Industrial Gas Suppliers,6704.623818771292
2028,Injection of CO2,3930836.4777356843
2028,Metals,38049859.891345084
2028,Minerals,62333743.13026545
2028,Natural Gas and Natural Gas Liquids Suppliers,2850969.9460668196
2028,Petroleum and Natural Gas Systems,30556831.748742983
2028,Petroleum Product Suppliers,38023403.97448733
2028,Power Plants,579650815.0314925
2028,Pulp and Paper,14689642.321963478
2028,Refineries,1061996.0242152365
2028,Waste,35274758.81041773
