year,primary_sector,state,p50,n_facilities
2024,Other,AK,786936.9934137152,7
2024,Other,AL,393008.21889283165,7
2024,Other,AR,199882.77346292973,4
2024,Other,AZ,164051.9503815443,2
2024,Other,CA,3796837.304413103,33
2024,Other,CO,409107.5561549136,6
2024,Other,CT,564703.283324708,9
2024,Other,DE,75797.94065668542,2
2024,Other,FL,308520.65596517397,5
2024,Other,GA,854453.7739733072,15
2024,Other,IA,8847695.724703256,41
2024,Other,ID,476911.57556319534,8
2024,Other,IL,2326606.175738565,21
2024,Other,IN,3858466.2614185866,26
2024,Other,KS,772862.5044827269,14
2024,Other,KY,508200.062152634,10
2024,Other,LA,362151.5152640568,4
2024,Other,MA,403319.6382330193,6
2024,Other,MD,450939.57850174373,4
2024,Other,ME,20744.729368873664,1
2024,Other,MI,1563550.9360391726,20
2024,Other,MN,1868458.9936267147,22
2024,Other,MO,736698.4790785792,13
2024,Other,MS,120741.23411990954,3
2024,Other,MT,39385.8069436608,1
2024,Other,NC,612234.2326291483,11
2024,Other,ND,359632.20984909596,5
2024,Other,NE,2651516.879292704,19
2024,Other,NH,40459.26411470835,1
2024,Other,NJ,253354.67923095153,7
2024,Other,NM,104239.53338469063,3
2024,Other,NV,264034.95399256883,4
2024,Other,NY,1120350.4158961866,16
2024,Other,OH,1577738.558159701,19
2024,Other,OK,442640.9558359272,8
2024,Other,OR,439748.09921124607,7
2024,Other,PA,5163932.767852015,11
2024,Other,RI,23991.569383562324,1
2024,Other,SC,341577.32479427144,6
2024,Other,SD,1160691.9708917674,11
2024,Other,TN,1035939.3246305698,11
2024,Other,TX,9492911.265232477,25
2024,Other,UT,225542.53719309438,4
2024,Other,VA,723066.0123569453,10
2024,Other,VI,32569.989997336026,1
2024,Other,VT,54937.73988294435,2
2024,Other,WA,463484.4624856242,8
2024,Other,WI,915393.1723270227,13
2024,Other,WV,2706890.791561703,4
2024,Other,WY,36618.5545404422,1
2024,Chemicals,AK,610516.0181395417,2
2024,Chemicals,AL,2509116.9351808173,7
2024,Chemicals,AR,2047787.6877164394,6
2024,Chemicals,AZ,406341.4116552861,1
2024,Chemicals,CA,23032104.80187734,15
2024,Chemicals,CO,30814.994706142228,1
2024,Chemicals,DE,23890.710335341162,1
2024,Chemicals,FL,244977.14987863463,1
2024,Chemicals,GA,1587808.0285659984,2
2024,Chemicals,HI,602756.2614288381,1
2024,Chemicals,IA,4666325.83222251,4
2024,Chemicals,ID,238350.4682760498,2
2024,Chemicals,IL,7408079.560549307,10
2024,Chemicals,IN,5123765.414454567,3
2024,Chemicals,KS,4888546.551876277,8
2024,Chemicals,KY,803386.8772302807,4
2024,Chemicals,LA,32544874.93122548,32
2024,Chemicals,MA,72228.64259975814,2
2024,Chemicals,MD,103380.06423191744,1
2024,Chemicals,MI,176730.759513345,3
2024,Chemicals,MN,4874402.613700901,2
2024,Chemicals,MO,195003.26912955137,3
2024,Chemicals,MS,7205024.860507612,2
2024,Chemicals,MT,2947658.092312373,4
2024,Chemicals,NC,133726.12977747366,1
2024,Chemicals,NJ,2379273.362129656,3
2024,Chemicals,NM,823110.6158107143,1
2024,Chemicals,NV,27212.627376423316,1
2024,Chemicals,NY,20733.585048712135,1
2024,Chemicals,OH,2162422.3752730754,8
2024,Chemicals,OK,4199076.384685015,4
2024,Chemicals,OR,181994.6953036212,1
2024,Chemicals,PA,1101674.9242450835,5
2024,Chemicals,PR,59470.24320088729,1
2024,Chemicals,TN,5178398.31730697,5
2024,Chemicals,TX,35648003.5471191,45
2024,Chemicals,UT,249401.43513573927,2
2024,Chemicals,VA,1209549.7543050447,2
2024,Chemicals,WA,2305093.083047387,4
2024,Chemicals,WV,1599152.7377793833,5
2024,Chemicals,WY,427022.27441729186,1
2024,Import and Export of Equipment Containing Fluorintaed GHGs,AL,27748.514318548947,1
2024,Import and Export of Equipment Containing Fluorintaed GHGs,PA,41792.27003639156,1
2024,Industrial Gas Suppliers,NJ,8496.257536399178,1
2024,Injection of CO2,IL,3852533.7114648917,1
2024,Injection of CO2,NM,198322.619097855,1
2024,Injection of CO2,TX,152310.07580290135,2
2024,Metals,AL,1483830.2555795535,9
2024,Metals,AR,498390.83380291855,3
2024,Metals,AZ,82077.86967385067,1
2024,Metals,CA,107430.00859763728,3
2024,Metals,CO,271997.3261289058,1
2024,Metals,FL,98280.79930034238,1
2024,Metals,GA,122244.64182042333,2
2024,Metals,IA,350413.5405871786,3
2024,Metals,IL,1167871.8439085616,8
2024,Metals,IN,20532940.243084528,17
2024,Metals,KY,546842.2326593081,5
2024,Metals,LA,778206.4463737973,1
2024,Metals,MI,1015301.1337680025,3
2024,Metals,MN,2104811.5984980054,4
2024,Metals,MO,20542.109360613664,1
2024,Metals,MS,525693.846391164,1
2024,Metals,NC,260749.70953087893,2
2024,Metals,NE,178906.56666435764,1
2024,Metals,NJ,69076.76954755766,1
2024,Metals,NY,216543.30843644333,2
2024,Metals,OH,1782089.1318763164,10
2024,Metals,OR,156564.29717496032,2
2024,Metals,PA,4072584.0668842955,14
2024,Metals,SC,352855.98947672715,3
