year,primary_sector,emissions
2011,Other,62032570.625049
2011,Chemicals,150069408.5911782
2011,Import and Export of Equipment Containing Fluorintaed GHGs,53203.776
2011,Industrial Gas Suppliers,19201.028
2011,Injection of CO2,5421140.883
2011,Metals,47272125.812
2011,Minerals,52947572.158
2011,Natural Gas and Natural Gas Liquids Suppliers,4023441.038
2011,Petroleum and Natural Gas Systems,30266264.984
2011,Petroleum Product Suppliers,40966410.155
2011,Power Plants,701994987.9550953
2011,Pulp and Paper,17346798.962
2011,Refineries,1027744.71
2011,Waste,32941473.610362
2012,Other,60420103.09674084
2012,Chemicals,151008933.4534476
2012,Import and Export of Equipment Containing Fluorintaed GHGs,63863.032
2012,Industrial Gas Suppliers,17111.936
2012,Injection of CO2,5176014.657
2012,Metals,46093721.318
2012,Minerals,55427593.262
2012,Natural Gas and Natural Gas Liquids Suppliers,4042229.38
2012,Petroleum and Natural Gas Systems,30129592.258
2012,Petroleum Product Suppliers,41326735.585
2012,Power Plants,680723966.859
2012,Pulp and Paper,17260000.526
2012,Refineries,1021863.4199999999
2012,Waste,33434563.466104
2013,Other,61505046.120342
2013,Chemicals,151383754.8707132
2013,Import and Export of Equipment Containing Fluorintaed GHGs,61786.17
2013,Industrial Gas Suppliers,14987.244
2013,Injection of CO2,5180511.838
2013,Metals,46539153.152
2013,Minerals,56546535.746
2013,Natural Gas and Natural Gas Liquids Suppliers,3863420.103
2013,Petroleum and Natural Gas Systems,29506823.682
2013,Petroleum Product Suppliers,40516290.093
2013,Power Plants,680828836.7647375
2013,Pulp and Paper,16296401.126
2013,Refineries,997751.7339999999
2013,Waste,32275230.362
2014,Other,61093416.2784928
2014,Chemicals,152955566.5378582
2014,Import and Export of Equipment Containing Fluorintaed GHGs,64056.07399999999
2014,Industrial Gas Suppliers,14631.096
2014,Injection of CO2,5189949.839
2014,Metals,45627531.168
2014,Minerals,58427799.028
2014,Natural Gas and Natural Gas Liquids Suppliers,3524751.039
2014,Petroleum and Natural Gas Systems,28856024.928
2014,Petroleum Product Suppliers,41567544.816
2014,Power Plants,687165484.0657545
2014,Pulp and Paper,16366978.688
2014,Refineries,1044249.944
2014,Waste,32650817.912
2015,Other,61542602.2558572
2015,Chemicals,156790690.998504
2015,Import and Export of Equipment Containing Fluorintaed GHGs,73966.688
2015,Industrial Gas Suppliers,14522.144
2015,Injection of CO2,4964303.692
2015,Metals,44854604.854
2015,Minerals,56719703.852
2015,Natural Gas and Natural Gas Liquids Suppliers,3650121.31094
2015,Petroleum and Natural Gas Systems,29245054.01096
2015,Petroleum Product Suppliers,42354062.092
2015,Power Plants,667271484.9901737
2015,Pulp and Paper,16148685.382
2015,Refineries,1040166.7279999999
2015,Waste,32730126.37
2016,Other,60965911.9364636
2016,Chemicals,157791265.763125
2016,Import and Export of Equipment Containing Fluorintaed GHGs,73084.456
2016,Industrial Gas Suppliers,15489.892
2016,Injection of CO2,4692689.464
2016,Metals,43485745.347
2016,Minerals,56212437.982
2016,Natural Gas and Natural Gas Liquids Suppliers,3545834.3419999997
2016,Petroleum and Natural Gas Systems,29286042.47
2016,Petroleum Product Suppliers,42486048.59
2016,Power Plants,655595341.2047864
2016,Pulp and Paper,16358001.062
2016,Refineries,1070437.676
2016,Waste,32612415.244
2017,Other,61370803.0946299
2017,Chemicals,159564726.906892
2017,Import and Export of Equipment Containing Fluorintaed GHGs,89615.73999999999
2017,Industrial Gas Suppliers,12399.952
2017,Injection of CO2,4912469.054
2017,Metals,42253445.657
2017,Minerals,58131447.628
2017,Natural Gas and Natural Gas Liquids Suppliers,3350743.366
2017,Petroleum and Natural Gas Systems,28258196.474
2017,Petroleum Product Suppliers,41581174.82
2017,Power Plants,649153803.0706816
2017,Pulp and Paper,15699223.814
2017,Refineries,1016866.11
2017,Waste,32590184.098
2018,Other,63290760.9952705
2018,Chemicals,161652664.667927
2018,Import and Export of Equipment Containing Fluorintaed GHGs,75546.432
2018,Industrial Gas Suppliers,12234.504
2018,Injection of CO2,4748989.683999999
2018,Metals,44595100.402
2018,Minerals,58211893.974
2018,Natural Gas and Natural Gas Liquids Suppliers,3437011.608
2018,Petroleum and Natural Gas Systems,30350776.780245114
2018,Petroleum Product Suppliers,42566749.282
2018,Power Plants,665271889.9865294
2018,Pulp and Paper,15518145.084
2018,Refineries,1000287.664
2018,Waste,32912678.318
2019,Other,63010259.849489704
2019,Chemicals,161979111.019277
2019,Import and Export of Equipment Containing Fluorintaed GHGs,67696.31
2019,Industrial Gas Suppliers,11388.008
2019,Injection of CO2,4810023.819999999
2019,Metals,42729899.525
2019,Minerals,57232721.428
2019,Natural Gas and Natural Gas Liquids Suppliers,3361731.498
2019,Petroleum and Natural Gas Systems,30422390.11300212
2019,Petroleum Product Suppliers,42345435.662
2019,Power Plants,627324785.735289
2019,Pulp and Paper,15674165.232
2019,Refineries,1079812.848
2019,Waste,33026893.538
2020,Other,57707731.2464618
2020,Chemicals,156278194.998519
2020,Import and Export of Equipment Containing Fluorintaed GHGs,56516.16
2020,Industrial Gas Suppliers,11121.508
2020,Injection of CO2,4879471.0139999995
2020,Metals,42126424.28
2020,Minerals,56275330.74
2020,Natural Gas and Natural Gas Liquids Suppliers,3403650.2199999997
2020,Petroleum and Natural Gas Systems,29645706.60432289
2020,Petroleum Product Suppliers,37457449.194
2020,Power Plants,575138667.4734294
2020,Pulp and Paper,15513678.746
2020,Refineries,950149.922
2020,Waste,32938331.784
2021,Other,60322057.7073811
2021,Chemicals,159326583.177955
2021,Import and Export of Equipment Containing Fluorintaed GHGs,54088.1396
2021,Industrial Gas Suppliers,9895.312
2021,Injection of CO2,4592036.45
2021,Metals,42598702.409
2021,Minerals,59392032.318
2021,Natural Gas and Natural Gas Liquids Suppliers,3236213.158
2021,Petroleum and Natural Gas Systems,29515767.17949529
2021,Petroleum Product Suppliers,39377948.68
2021,Power Plants,616835695.3531547
2021,Pulp and Paper,15576904.6
2021,Refineries,992953.996
2021,Waste,32700520.186
2022,Other,62020286.7334034
