year,primary_sector,state,emissions,n_facilities
2011,Other,AK,727122.072,7
2011,Other,AL,312700.978,7
2011,Other,AR,172083.226,4
2011,Other,AZ,158076.688749,2
2011,Other,CA,3756399.631,33
2011,Other,CO,648654.0934,6
2011,Other,CT,600042.096,9
2011,Other,DE,113410.694,2
2011,Other,FL,353527.434,5
2011,Other,GA,952269.778,15
2011,Other,IA,9096783.874,41
2011,Other,ID,347665.5646,8
2011,Other,IL,2026010.274,21
2011,Other,IN,3828390.7939999998,26
2011,Other,KS,816956.476,14
2011,Other,KY,535568.3181592398,10
2011,Other,LA,249044.826,4
2011,Other,MA,498517.064,6
2011,Other,MD,457461.998,4
2011,Other,ME,49654.343,1
2011,Other,MI,1870594.134168166,20
2011,Other,MN,1882529.768,22
2011,Other,MO,775608.72406328,13
2011,Other,MS,147948.114,3
2011,Other,MT,24549.08,1
2011,Other,NC,552896.769,11
2011,Other,ND,368245.95,5
2011,Other,NE,2703745.736,19
2011,Other,NH,55677.012,1
2011,Other,NJ,310773.526,7
2011,Other,NM,117822.506,3
2011,Other,NV,369953.462,4
2011,Other,NY,1226867.5782263,16
2011,Other,OH,1774025.3652864192,19
2011,Other,OK,565237.05,8
2011,Other,OR,398706.864315,7
2011,Other,PA,4489951.05,11
2011,Other,RI,28811.636,1
2011,Other,SC,296449.974,6
2011,Other,SD,1025377.894,11
2011,Other,TN,1220985.906,11
2011,Other,TX,9773711.5448894,25
2011,Other,UT,197457.838,4
2011,Other,VA,973036.7301922,10
2011,Other,VI,31881.038,1
2011,Other,VT,55530.834,2
2011,Other,WA,487153.974,8
2011,Other,WI,842034.306,13
2011,Other,WV,3718003.4,4
2011,Other,WY,46662.638,1
2011,Chemicals,AK,649074.176,2
2011,Chemicals,AL,2108233.40008,7
2011,Chemicals,AR,1618360.976,6
2011,Chemicals,AZ,456451.424,1
2011,Chemicals,CA,20707709.282,15
2011,Chemicals,CO,34479.32,1
2011,Chemicals,DE,32833.476,1
2011,Chemicals,FL,282647.042,1
2011,Chemicals,GA,1965518.148,2
2011,Chemicals,HI,578300.198,1
2011,Chemicals,IA,2176196.416,4
2011,Chemicals,ID,232082.17599999998,2
2011,Chemicals,IL,6758936.22,10
2011,Chemicals,IN,4928112.34,3
2011,Chemicals,KS,4360204.9059999995,8
2011,Chemicals,KY,680989.392,4
2011,Chemicals,LA,29498724.036,32
2011,Chemicals,MA,85955.988,2
2011,Chemicals,MD,98125.034,1
2011,Chemicals,MI,220271.86000000002,3
2011,Chemicals,MN,4448631.732,2
2011,Chemicals,MO,221483.598,3
2011,Chemicals,MS,6073085.496,2
2011,Chemicals,MT,2606366.312,4
2011,Chemicals,NC,164366.55,1
2011,Chemicals,NJ,2641638.348,3
2011,Chemicals,NM,657175.87,1
2011,Chemicals,NV,30726.148,1
2011,Chemicals,NY,26038.152,1
2011,Chemicals,OH,2553877.93,8
2011,Chemicals,OK,4204745.76,4
2011,Chemicals,OR,204052.478,1
2011,Chemicals,PA,991344.856,5
2011,Chemicals,PR,116626.036,1
2011,Chemicals,TN,6500946.277,5
2011,Chemicals,TX,34922423.647,45
2011,Chemicals,UT,192923.448,2
2011,Chemicals,VA,1051971.9139999999,2
2011,Chemicals,WA,2599387.514,4
2011,Chemicals,WV,2001906.2950982,5
2011,Chemicals,WY,386484.42,1
2011,Import and Export of Equipment Containing Fluorintaed GHGs,AL,29375.496,1
2011,Import and Export of Equipment Containing Fluorintaed GHGs,PA,23828.28,1
2011,Industrial Gas Suppliers,NJ,19201.028,1
2011,Injection of CO2,IL,4710939.104,1
2011,Injection of CO2,NM,296497.411,1
2011,Injection of CO2,TX,413704.368,2
2011,Metals,AL,1283649.47,9
2011,Metals,AR,696099.3239999999,3
2011,Metals,AZ,92074.746,1
2011,Metals,CA,108645.728,3
2011,Metals,CO,318518.6,1
2011,Metals,FL,82506.416,1
2011,Metals,GA,124514.748,2
2011,Metals,IA,276508.66,3
2011,Metals,IL,1352738.54,8
2011,Metals,IN,26637057.781999998,17
2011,Metals,KY,458161.878,5
2011,Metals,LA,764821.368,1
2011,Metals,MI,1541853.0420000001,3
2011,Metals,MN,2243373.308,4
2011,Metals,MO,43858,1
2011,Metals,MS,458317.96,1
2011,Metals,NC,465263.684,2
2011,Metals,NE,217901.232,1
2011,Metals,NJ,42998.764,1
2011,Metals,NY,173662.00600000002,2
2011,Metals,OH,1769932.664,10
2011,Metals,OR,194954.282,2
2011,Metals,PA,4838916.774,14
2011,Metals,SC,322213.24,3
2011,Metals,TN,272685.304,2
2011,Metals,TX,806717.39,6
2011,Metals,UT,190353.068,1
2011,Metals,VA,705624.8759999999,3
2011,Metals,WA,108437.69,1
2011,Metals,WI,434004.708,3
2011,Metals,WV,245760.56,3
2011,Minerals,AL,2988621.966,7
2011,Minerals,AR,536914.7239999999,3
2011,Minerals,AZ,1071206.09,2
2011,Minerals,CA,3261992.766,7
2011,Minerals,CO,212138.548,3
2011,Minerals,GA,266425.86199999996,4
2011,Minerals,IA,1353228.152,6
2011,Minerals,ID,318097.474,1
2011,Minerals,IL,672384.71,4
2011,Minerals,IN,2451778.6580000003,9
2011,Minerals,KS,1278283.048,4
2011,Minerals,KY,2469206.898,5
2011,Minerals,MI,3621746.742,7
2011,Minerals,MN,1690248.61,6
2011,Minerals,MO,7657340.738000001,8
2011,Minerals,MS,49747.32,1
2011,Minerals,MT,584498.154,3
2011,Minerals,NC,376067.46,5
2011,Minerals,ND,1058962.278,3
2011,Minerals,NE,805528.52,1
2011,Minerals,NJ,118052.76,3
2011,Minerals,NM,34112.974,1
2011,Minerals,NV,1241119.758,2
2011,Minerals,NY,392163.838,5
2011,Minerals,OH,2120657.292,9
2011,Minerals,OK,921026.852,6
2011,Minerals,PA,2451061.376,11
2011,Minerals,SC,2028786.686,5
2011,Minerals,SD,285890.362,1
2011,Minerals,TN,648143.234,6
2011,Minerals,TX,3941639.002,11
2011,Minerals,UT,905801.782,1
2011,Minerals,VA,92560.88399999999,2
2011,Minerals,WA,483204.784,4
2011,Minerals,WI,1032873.5240000001,6
2011,Minerals,WV,405637.792,2
2011,Minerals,WY,3120420.54,5
2011,Natural Gas and Natural Gas Liquids Suppliers,AL,521469.16000000003,2
2011,Natural Gas and Natural Gas Liquids Suppliers,CA,29337.246,1
2011,Natural Gas and Natural Gas Liquids Suppliers,CO,508794.346,1
2011,Natural Gas and Natural Gas Liquids Suppliers,IL,255818.33,1
2011,Natural Gas and Natural Gas Liquids Suppliers,LA,392367.896,4
2011,Natural Gas and Natural Gas Liquids Suppliers,MN,163714.1,1
2011,Natural Gas and Natural Gas Liquids Suppliers,ND,40411.162,1
2011,Natural Gas and Natural Gas Liquids Suppliers,OK,35687.182,1
2011,Natural Gas and Natural Gas Liquids Suppliers,TX,1282398.484,5
2011,Natural Gas and Natural Gas Liquids Suppliers,WY,793443.132,4
2011,Petroleum and Natural Gas Systems,AK,7238119.458,8
2011,Petroleum and Natural Gas Systems,AL,761082.595,5
2011,Petroleum and Natural Gas Systems,AR,152336.22,2
2011,Petroleum and Natural Gas Systems,AZ,214636.46600000001,5
2011,Petroleum and Natural Gas Systems,CA,289299.438,6
2011,Petroleum and Natural Gas Systems,CO,2431052.6,8
2011,Petroleum and Natural Gas Systems,CT,127357.448,3
2011,Petroleum and Natural Gas Systems,FL,133933.8,3
2011,Petroleum and Natural Gas Systems,HI,23471.948,1
2011,Petroleum and Natural Gas Systems,IA,206849.812,3
2011,Petroleum and Natural Gas Systems,ID,116276.484,2
2011,Petroleum and Natural Gas Systems,IL,164825.568,3
2011,Petroleum and Natural Gas Systems,IN,56605.68,1
2011,Petroleum and Natural Gas Systems,KS,139519.802,3
2011,Petroleum and Natural Gas Systems,KY,46803.574,1
2011,Petroleum and Natural Gas Systems,LA,2920824.576,28
2011,Petroleum and Natural Gas Systems,MA,25323.562,1
2011,Petroleum and Natural Gas Systems,MI,928650.8890000001,4
2011,Petroleum and Natural Gas Systems,MN,316350.814,3
2011,Petroleum and Natural Gas Systems,MS,522873.624,9
2011,Petroleum and Natural Gas Systems,ND,952669.338,9
2011,Petroleum and Natural Gas Systems,NJ,38181.616,1
2011,Petroleum and Natural Gas Systems,NM,886215.118,5
2011,Petroleum and Natural Gas Systems,NV,170519.91999999998,2
2011,Petroleum and Natural Gas Systems,NY,192482.26,3
2011,Petroleum and Natural Gas Systems,OH,34861.788,1
2011,Petroleum and Natural Gas Systems,OK,904490.791,12
2011,Petroleum and Natural Gas Systems,OR,57649.988,1
2011,Petroleum and Natural Gas Systems,PA,1545670.372,6
2011,Petroleum and Natural Gas Systems,SC,2450749.922,1
2011,Petroleum and Natural Gas Systems,TX,4509455.603,28
2011,Petroleum and Natural Gas Systems,UT,249133.372,4
2011,Petroleum and Natural Gas Systems,WA,72380.386,1
2011,Petroleum and Natural Gas Systems,WV,106161.99599999998,3
2011,Petroleum and Natural Gas Systems,WY,1279448.156,7
2011,Petroleum Product Suppliers,AK,531053.07,1
2011,Petroleum Product Suppliers,AL,413780.78,1
2011,Petroleum Product Suppliers,CA,1086999.605,3
2011,Petroleum Product Suppliers,IL,3943771.1340000005,2
2011,Petroleum Product Suppliers,IN,207253.836,1
2011,Petroleum Product Suppliers,KY,2232174.954,1
2011,Petroleum Product Suppliers,LA,12629936.958,6
2011,Petroleum Product Suppliers,MI,724939.172,1
2011,Petroleum Product Suppliers,MS,26897.172,1
2011,Petroleum Product Suppliers,ND,563532.664,1
2011,Petroleum Product Suppliers,NJ,149353.64,1
