year,primary_sector,target
2024,Chemicals,153782100.01793727
2024,Import and Export of Equipment Containing Fluorintaed GHGs,77740.41587063817
2024,Industrial Gas Suppliers,7714.748306617679
2024,Metals,40125420.312453106
2024,Minerals,57515866.3773236
2024,Petroleum Product Suppliers,39966895.92647768
2024,Petroleum and Natural Gas Systems,25808371.038214073
2024,Power Plants,519628622.33763057
2024,Refineries,998263.1028696758
2024,Waste,32295135.68816868
2025,Chemicals,146731958.83737373
2025,Import and Export of Equipment Containing Fluorintaed GHGs,71585.44687077738
2025,Industrial Gas Suppliers,7103.945854158782
2025,Metals,38956759.13629731
2025,Minerals,56246650.4415212
2025,Petroleum Product Suppliers,38867505.4363345
2025,Petroleum and Natural Gas Systems,22467491.945072636
2025,Power Plants,459119925.837629
2025,Refineries,970803.3530813849
2025,Waste,31050420.84857948
2026,Chemicals,140005031.41614944
2026,Import and Export of Equipment Containing Fluorintaed GHGs,65917.78737350898
2026,Industrial Gas Suppliers,6541.502676831359
2026,Metals,37822135.458914585
2026,Minerals,55005442.58754316
2026,Petroleum Product Suppliers,37798356.460369475
2026,Petroleum and Natural Gas Systems,19559087.768634114
2026,Power Plants,405657227.56547403
2026,Refineries,944098.9531164701
2026,Waste,29853679.643374525
2027,Chemicals,133586500.017775
2027,Import and Export of Equipment Containing Fluorintaed GHGs,60698.85545399759
2027,Industrial Gas Suppliers,6023.590008916107
2027,Metals,36720557.93110435
2027,Minerals,53791624.754565194
2027,Petroleum Product Suppliers,36758617.12929867
2027,Petroleum and Natural Gas Systems,17027174.87454276
2027,Power Plants,358420048.91398203
2027,Refineries,918129.1251688672
2027,Waste,28703063.079095356
2028,Chemicals,127462226.22496809
2028,Import and Export of Equipment Containing Fluorintaed GHGs,55893.12384756954
2028,Industrial Gas Suppliers,5546.682220894449
2028,Metals,35651064.07691678
2028,Minerals,52604592.52065427
2028,Petroleum Product Suppliers,35747478.45650541
2028,Petroleum and Natural Gas Systems,14823016.67837481
2028,Power Plants,316683452.7625092
2028,Refineries,892873.6629785844
2028,Waste,27596793.425944358
